id,lens,title,what,outcome,status,amount,year,source,confidence,public_use,hold_reason,notes
C4,C,"WA council mergers, government tried to remove the ratepayer vote","From 2013 the Barnett Government moved to cut Perth's 30 metropolitan councils to around 14 to 16, and sought to suspend the “Dadour” provisions, the electors' statutory right to force a binding poll on a merger. Where mergers would have triggered those polls, it used boundary-change orders that carried no poll right. WALGA called it an “effective removal of the democratic process.”","Ratepayers stopped it, not the government. Where the poll right survived, electors voted on 7 February 2015 and rejected the mergers by 76 to 88 per cent (Kwinana 88% no, South Perth 78%, East Fremantle 76%). The government shelved the program on 17 February 2015.",IGNORED,,2013 to 2015,"WA metropolitan local-government amalgamation program; 7 Feb 2015 ratepayer polls; Policy Quarterly, “Local Government Reform in Western Australia”",HIGH,True,,Merger targets shifted across the program's stages; cite the reduction as a range (30 to around 14-16).
C5,C,COVID-era “significant development” pathway cut out councils and the public,"In 2020 the McGowan Government created the Part 17 “significant development” pathway (Planning and Development Amendment Act 2020) as a temporary COVID-recovery measure to fast-track major projects. It sent decisions to the WA Planning Commission, removed local government, and made public consultation discretionary rather than required.","WALGA's 2020 to 2025 review found councils supported only about 30% of pathway applications, against about 90% for Development Assessment Panels and about 99% for locally-decided ones, and found the pathway “removed Local Government from decision making.” The “temporary” pathway was later extended, not lapsed.",IGNORED,,2020 to 2025,"Planning and Development Amendment Act 2020 (WA), Part 17; WALGA, Significant Development Pathway 2020 to 2025 Review (Apr 2025)",MEDIUM,True,,"Framed as a reform that reduced consultation, not a false “we consulted” claim. Confirm at point of use."
D1,D,Deloitte $440k AI report with fabricated citations,"DEWR paid Deloitte $440,000 to review the automated welfare-penalty system.","The report carried a dozen-plus fabricated citations and a made-up Federal Court quote, produced with GPT-4o; caught by an academic. Deloitte repaid just $97,587, under a quarter of the fee.",PARTIAL,"$440,000, refund $97,587",2024 to 2025,DEWR Assurance Review; AusTender CN4118426; Sen. Pocock (Oct 2025),HIGH,True,,
D2,D,"PwC tax leaks, partner banned, 12 Senate recs","A PwC partner used confidential Treasury information, received while advising government on an incoming anti-avoidance law, to help clients sidestep it.",The Tax Practitioners Board terminated his registration; three federal inquiries followed; the Senate committee made 12 recommendations on consulting integrity.,RECURRING,,2023,Tax Practitioners Board decision; Senate Finance & Public Administration Cttee,HIGH,True,,
D3,D,ATO IT contracts blew out $19.06m to $88.11m,Six ATO advisor contracts for IT managed services rose from an approved $19.06m to $88.11m; contractors supply roughly half the ATO's annual IT spend.,The ANAO found the value-for-money demonstration “deficient”; eight managed-services contracts worth ~$2.5bn over ten years underpin the dependency.,OVERDUE,$19.06m to $88.11m,2025,"ANAO, ATO Procurement of IT Managed Services (performance audit)",HIGH,True,,
D4,D,"WA's $1.6bn IT blowout, 10 major projects",The AG examined 10 major State IT projects estimated at $2.6bn.,"They rose to at least $4.2bn, a $1.6bn / 62% overrun; half at least doubled, 8 of 10 late by 4 to 78 months. $4.2bn is a floor.",RECURRING,$2.6bn to $4.2bn (+62%),2025,"WA Auditor General, 2025 Transparency Report - Major IT Projects",HIGH,True,,"$4.2bn is a floor, not a total. Never sum ledger figures."
D5,D,"Queensland Health / IBM payroll, $98m to ~$1.2bn",A payroll system project contracted around $98m.,Blew out to ~$1.2bn over eight years; the Commission of Inquiry called it in the “front rank of failures… may be the worst” and found a “distinct partiality for IBM.”,RECURRING,$98m to ~$1.2bn,2013 inquiry,"Queensland Health Payroll Commission of Inquiry (Chesterman), 2013",HIGH,True,,
D6,D,"WA HRMIS health payroll (Deloitte/SAP), $220m and rising",In 2022 Deloitte/SAP won a ~$220m contract to build WA Health's HR/payroll system.,"Now $274.8m, up $39.2m in a single budget, ~90% spent and still drawing funds.",RECURRING,$220m to $274.8m,2022 to 2026,WA Health/DoF HRMIS contract disclosures; iTnews (2022),HIGH,True,,$274.8m is a moving figure; re-confirm at point of use.
D7,D,"GovNext-ICT, the $65m savings that never came",The GovNext-ICT program was sold on projected savings of $65m.,The Department of Premier and Cabinet accepted the AG's finding: “little doubt that the projected $65 million savings… will not be achieved.”,IGNORED,$65m savings never realised,2018,"WA Auditor General, Implementation of the GovNext-ICT Program",HIGH,True,,
D8,D,"Office of Shared Services, ~$370m to unwind",WA's Office of Shared Services was sold as a savings program.,Scrapped as a costly write-off: ~$370m to unwind after ~$258m had already been spent. Claimed savings became a loss.,IGNORED,~$370m to unwind,2011,"iTnews (2011), “WA to pay $370m to scrap shared services”",MEDIUM,True,,
D9,D,"WA's consultant shadow, $7.3m reported vs $154.7m real",WA disclosed just $7.3m of whole-of-government “consultants” (six months to June 2023).,"One agency, Health Support Services, spent $154.7m on “computer services” in a single year. The real spend hides under labels like “computer” and “professional” services.",RECURRING,$7.3m reported vs $154.7m,2023 to 2025,Report on Consultants (tabled paper 2905); 2024-25 agency annual reports,HIGH,True,,The $7.3m-vs-$154.7m contrast is a moving figure; re-confirm at point of use.
B5,B,"The one lever for the regions, removed: aged-care place allocation","For decades the Commonwealth allocated residential aged-care places region by region against a planning ratio (a target of 78 places per 1,000 people aged 70 and over), the mechanism that steered new supply toward under-served country areas so a town was not left behind.","The ratio was lowered to 60.1 from 1 July 2024, and under the Places to People model the aged-care planning region ratio was discontinued altogether from late 2025, so a place now follows the individual into the market. That creates choice in a city with many providers and nothing in a town with none, because a place that follows a person is worthless where no operator will build. The Department concedes competition will not exist universally. The one protection the regions had was removed, not replaced.",IGNORED,,2024 to 2025,"Australian Government Department of Health, Disability and Ageing, Places to People (residential aged care place allocation); Journal of Long-Term Care (2025), Regional Variation in Residential Aged Care Provision in Australia.",MEDIUM,True,,"Commonwealth decision, not a State failure. The WA lever is to advocate a regional supply floor or loading and additionality in agreements. Confirm the exact 60.1 figure and the 1 November 2025 discontinuation date against the primary Department source before chamber use."
A6,A,The answer already on the shelf: Aged Care Royal Commission recommendations WA has not been held to,"The Royal Commission into Aged Care Quality and Safety handed down 148 recommendations in its 2021 Final Report, several on levers WA holds or can advocate (Multi-Purpose Services and cost-shared capital, a rural primary-care capitation model, specialist and geriatrician outreach, a properly costed viability supplement, and culturally appropriate advance-care processes and training on Country).","Five years on, WA's implementation status against these recommendations is not visible on the public record, and the national mechanism that steered places to under-served regions was cut, then removed (see B5). The answer was delivered in 2021; the delivery is not on the record.",UNVERIFIED,,2021 to 2026,"Royal Commission into Aged Care Quality and Safety, Final Report Care, Dignity and Respect (2021), Recommendations 48, 51, 55, 56, 62, 113.",MEDIUM,False,The recommendations are verified; WA's implementation status is the open question. Lodge a Question on Notice on WA's status per named recommendation; flips to public once the reply lands.,
A7,A,The $100 million aged-care loan scheme missed its own deadline,The WA Government's $100 million Aged Care Low Interest Loan Scheme committed that funding agreements would be announced and finalised by May 2026.,"On 18 June 2026 the responsible minister confirmed the May 2026 deadline had passed without the applicants, the total value of funding, or the number and timing of new beds being announced. The regional versus metropolitan split of applications and projected beds is not published.",OVERDUE,$100m,2026,"WA Government, Aged Care Low Interest Loan Scheme (https://www.wa.gov.au/organisation/department-of-energy-and-economic-diversification/aged-care-low-interest-loan-scheme); WA Legislative Assembly, 18 June 2026.",MEDIUM,True,,"The deadline miss and the absence of figures are on the Assembly record. Confirm the exact May 2026 commitment wording against the scheme page, and lodge the regional-split Question on Notice, before leaning on the regional-and-remote angle."
A8,A,Three years on from the Auditor General: older patients still stranded in hospital,"In November 2022 the WA Auditor General found the State had no effective system for managing long-stay patients, reporting that 486 patients spent a combined 40,000 unnecessary days in hospital at a cost of about $95 million, with regional patients waiting around 50 days against 11.4 in Perth.","Nearly three years on, about 200 elderly Western Australians remain stranded in public hospitals, medically cleared but with nowhere to go, and the system the watchdog said to fix is still not fixed.",IGNORED,,2022 to 2026,"WA Auditor General, Management of Long Stay Patients in Public Hospitals, Report 9 (November 2022) (https://audit.wa.gov.au/reports-and-publications/reports/management-of-long-stay-patients-in-public-hospitals/); figures restated in WA Legislative Assembly, 19 August 2025.",HIGH,True,,
A9,A,"Urgent care clinics: a written promise with no towns, timeline or funding","In February the Government promised in writing to deliver urgent care clinics across the South West, including Warren-Blackwood, to relieve pressure on emergency departments.","With the 2025-26 budget handed down there was still no detail on which towns, what timeline, or what funding.",UNVERIFIED,,2025,"WA Legislative Assembly, 13 August 2025 (referencing the February written commitment).",MEDIUM,False,The Assembly reference is on the record; pin the actual February written commitment (the primary) before public use.,
A10,A,Election promises missing from the budget papers,"Six named election commitments were put to the Government to locate in the budget papers, including the Boyup Brook Recreation Centre, the Denmark Primary School car park, the Manjimup Rea Park redevelopment, the Margaret River fire station and regional childcare support.","The Government confirmed the Boyup Brook Recreation Centre is not funded and left several named promises without a budget location, while confirming $5.1 million each for the Margaret River fire station and regional childcare.",IGNORED,,2025,"WA Legislative Assembly, Question on Notice 439, answered 16 September 2025 (https://www.parliament.wa.gov.au/parliament/pquest.nsf/viewLAPQuestByDate/A19AA726E84C14BD48258CDF0038EF8C?opendocument).",MEDIUM,True,,"Confirmed unfunded item is the Boyup Brook Recreation Centre; treat the other unlocated promises as unlocated, not as confirmed cut."
A11,A,"Softwood plantation expansion delivered at a fraction, then the target reframed","The Government promised a $350 million softwood plantation expansion of 35,000 hectares to secure the timber estate.","After three years the Government reframed the program as a record $350 million over ten years, said about 20,000 to 25,000 hectares is likely if focused on freehold land, and reported 1,538 hectares established through joint ventures. It did not commit to the original 35,000 hectare target.",IGNORED,$350m,2025,"WA Legislative Assembly, Question on Notice 453, answered 16 September 2025 (https://www.parliament.wa.gov.au/parliament/pquest.nsf/viewLAPQuestByDate/4F9A6BDD9F1DB89748258CE4002749F2?opendocument).",MEDIUM,True,,
A12,A,A public accountability measure retired as the estate took a drought hit,"The softwood estate carried a public thinning-timeliness performance measure, the yardstick for whether it was being managed on time.","The Government confirmed about 1,500 hectares in the South-West and 6,000 in the Mid-West were significantly affected by drought, with a roughly $29 million negative impact on plantation value, and that it will not reinstate the thinning timeliness measure.",IGNORED,$29m,2025,"WA Legislative Assembly, Question on Notice 1022, answered 16 December 2025 (https://www.parliament.wa.gov.au/parliament/pquest.nsf/viewLAPQuestByDate/DD891B31148789DE48258D4000371DC0?opendocument).",HIGH,True,,
